Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-11-30;RWT;81.5985815333;81.2299003341;82.0890585344;82.9912173913;82.8196417294;83.2084612273;79.4546998867;83.0138387485;78.426883514;97.7273018097;97.8037062457;2021-11-30 00:00:00-RWT
2021-12-01;RSD;92.9606021488;91.3500024161;94.6321747507;93.0581468899;91.3001299423;94.6471258347;90.9755517092;90.2007203667;91.3578352181;96.0135296759;97.3554459883;2021-12-01 00:00:00-RSD
2021-12-03;NETZ;93.0002796158;91.1291742762;94.1791557627;93.8641508578;92.4300517714;94.6797778614;90.5844203366;90.6618460677;90.5703612803;97.3865612151;98.8754251337;2021-12-03 00:00:00-NETZ
2021-12-03;RME;91.8799843373;90.961263752;92.8212060074;92.787333838;92.5201878401;93.0353042419;89.6457461294;90.0537459283;89.5526478786;97.5638027953;98.6606006617;2021-12-03 00:00:00-RME
2021-12-03;ROT;95.0874665058;92.7743688807;95.8748983253;95.9431949028;93.8429913442;96.5651125164;94.7269438232;93.7558007923;94.8265063387;97.4163964763;98.9937302744;2021-12-03 00:00:00-ROT
2021-12-04;NETZ;93.6621182812;90.5469664256;96.1241431563;95.0406849354;91.8987135949;97.1463118663;92.356161246;91.4305047024;92.5318431415;96.7563571124;98.7165010539;2021-12-04 00:00:00-NETZ
2021-12-04;RME;93.4287652095;90.485909302;97.2811100984;94.6413705416;92.1672718191;97.3840413985;93.1132749973;91.0508615898;93.6032752245;96.3589707886;98.3644778509;2021-12-04 00:00:00-RME
2021-06-28;NETZ;90.3558499821;86.8782570084;92.5348794877;91.7941906329;88.4081053797;93.7210119274;87.9632206982;85.9822779178;88.3162154306;96.553023367;98.4188459352;2021-06-28 00:00:00-NETZ
2021-06-28;RSD;92.0199976707;89.4478121333;94.6171109741;92.5168534645;88.8477539483;95.7665574398;87.8673927689;84.8573907009;89.307436919;97.6766817808;97.0360237118;2021-06-28 00:00:00-RSD
2021-06-30;NETZ;93.1525391034;89.6556240548;95.3302616204;93.887465528;90.9033434676;95.5623541101;89.9494382022;89.5036832413;90.0279966765;97.4244075247;98.637155895;2021-06-30 00:00:00-NETZ
2021-07-02;RME;94.459147817;92.9332757904;95.9746416575;94.9065014604;93.7562572288;95.9504798871;92.1253985929;90.9317610941;92.389823173;97.5672293909;98.6474330142;2021-07-02 00:00:00-RME
2021-07-02;ROT;94.3438228365;92.4235846233;94.9889566462;95.1691712738;92.9044289623;95.8336311119;94.8867934608;94.3200175593;94.9437226256;97.3919638759;99.1809885713;2021-07-02 00:00:00-ROT
2021-07-02;RWT;91.7086745958;91.1433137293;92.4416891402;92.9060292324;92.5163036916;93.3882624909;89.2189708183;91.4551438323;88.583604627;98.8938407774;99.1310710692;2021-07-02 00:00:00-RWT
2021-07-03;ROT;97.4762999448;94.0032005541;99.0346864326;98.1181129597;94.9226358556;99.2926661226;97.0636242134;95.2327839906;97.2549514085;98.6632161939;99.5482423805;2021-07-03 00:00:00-ROT
2021-03-17;NETZ;93.5552853113;90.9205513194;95.1954154384;94.2651775199;91.7064961761;95.713397431;91.0436588684;90.8383481046;91.0801599492;97.4108941538;99.0702470312;2021-03-17 00:00:00-NETZ
